sample_id,word,start,end,ctc_score,fallback_used,reasons
-3g5yACwYnA__13,least,3.2625,3.4025,0.1915,False,low_ctc
-3g5yACwYnA__2,Polymer,3.0625,3.3425,0.4012,False,marginal_ctc
-3g5yACwYnA__2,a,3.6625,3.6825,0.8117,False,very_short
-3g5yACwYnA__3,a,1.2425,1.2625,0.9648,False,very_short
-3g5yACwYnA__3,of,2.9825,3.0225,0.9751,False,very_short
-3g5yACwYnA__3,don't,7.1425,7.2625,0.9606,False,overlap_risk
-3g5yACwYnA__3,have,7.2825,7.3625,0.9879,False,overlap_risk
-3g5yACwYnA__3,of,12.0025,12.0425,0.9729,False,very_short
-3g5yACwYnA__9,have,3.9025,4.0025,0.4569,False,overlap_risk
-3g5yACwYnA__9,changed,4.0225,4.2825,0.7593,False,overlap_risk
-3g5yACwYnA__9,through,4.3025,4.4625,0.5609,False,overlap_risk
-3g5yACwYnA__9,the,4.4825,4.5425,0.9881,False,overlap_risk
-3g5yACwYnA__9,added,7.4425,7.6225,0.2256,False,low_ctc
-3nNcZdcdvU__5,in,2.6825,2.7225,0.9969,False,very_short
-3nNcZdcdvU__5,you,4.2625,4.4625,0.9391,False,filler_like
-3nNcZdcdvU__5,in,6.1825,6.2225,0.9952,False,very_short
-3nNcZdcdvU__5,you,6.4825,6.5825,0.9876,False,filler_like
-571d8cVauQ__0,is,1.2425,1.2825,0.5134,False,very_short
-571d8cVauQ__0,Rhett,1.3425,1.5025,0.4158,False,marginal_ctc
-571d8cVauQ__0,of,3.6225,3.6625,0.9829,False,very_short
-571d8cVauQ__5,to,1.4025,1.4425,0.2726,False,marginal_ctc;very_short
-571d8cVauQ__5,if,5.6425,5.6825,0.9998,False,very_short
-571d8cVauQ__5,you,5.7425,5.8225,0.9988,False,filler_like
-571d8cVauQ__5,a,7.9825,8.0025,0.9787,False,very_short
-571d8cVauQ__5,a,9.5625,9.5825,0.6728,False,very_short
-571d8cVauQ__5,on,10.2825,10.3225,0.9995,False,very_short
-571d8cVauQ__5,a,13.1625,13.1825,0.9818,False,very_short
-6rXp3zJ3kc__8,a,2.6625,2.6825,0.9912,False,very_short
-6rXp3zJ3kc__8,a,6.3625,6.3825,0.9985,False,very_short
-6rXp3zJ3kc__8,of,6.6225,6.6625,0.9994,False,very_short
-6rXp3zJ3kc__8,on,10.0225,10.0625,0.9981,False,very_short
-9y-fZ3swSY__0,is,0.0425,0.1425,0.57,False,edge_clip_start
-9y-fZ3swSY__0,you,0.1825,0.2425,0.0334,False,low_ctc;filler_like
-9y-fZ3swSY__0,can,0.2625,0.3825,0.3423,False,marginal_ctc
-9y-fZ3swSY__0,I,1.6825,1.7025,0.0062,False,low_ctc;filler_like;very_short
-9y-fZ3swSY__0,like,2.4025,2.6825,0.9828,False,filler_like
-9y-fZ3swSY__0,are,3.8025,3.8625,0.0085,False,low_ctc
-9y-fZ3swSY__0,on,5.7625,5.8025,0.9905,False,very_short
-9y-fZ3swSY__4,this,0.7625,0.9225,0.2782,False,marginal_ctc
-9y-fZ3swSY__4,in,1.0225,1.0625,0.112,False,low_ctc;very_short
-9y-fZ3swSY__4,in,1.9625,2.0025,0.9993,False,very_short
-9y-fZ3swSY__4,US,2.2425,2.5625,0.1183,False,low_ctc
-9y-fZ3swSY__8,a,0.5625,0.6025,0.6739,False,very_short
-9y-fZ3swSY__8,a,4.0025,4.0225,0.9917,False,very_short
-AUZQgSxyPQ__2,mate,1.3025,1.5225,0.1866,False,low_ctc
-AUZQgSxyPQ__2,Therapy,3.5625,3.9625,0.4176,False,marginal_ctc
-AUZQgSxyPQ__2,and,12.4625,12.5625,0.0026,False,low_ctc
-AUZQgSxyPQ__2,cells,21.5225,21.8025,0.1863,False,low_ctc
-HeZS2-Prhc__2,The,0.1425,0.4025,0.3278,False,marginal_ctc;edge_clip_start
-HeZS2-Prhc__2,it,4.2025,4.2425,0.9951,False,very_short
-HeZS2-Prhc__2,as,6.2025,6.2425,0.6786,False,very_short
-HeZS2-Prhc__2,great,7.3425,8.1225,0.6029,False,edge_clip_end
-HwX2H8Z4hY__2,President,0.0025,0.3425,0.2079,False,low_ctc;overlap_risk;edge_clip_start
-HwX2H8Z4hY__2,Ronald,0.3625,0.6625,0.1667,False,low_ctc;overlap_risk
-HwX2H8Z4hY__2,Reagan,0.7225,0.8425,0.0001,False,low_ctc
-HwX2H8Z4hY__2,at,2.8825,2.9225,0.9978,False,very_short
-HwX2H8Z4hY__5,of,4.3025,4.3425,0.9994,False,very_short
-HwX2H8Z4hY__6,in,0.6825,0.7225,0.9993,False,very_short
-HwX2H8Z4hY__9,It,0.5625,0.6025,0.9921,False,very_short
-HwX2H8Z4hY__9,a,0.8425,0.8625,0.9654,False,very_short
-HwX2H8Z4hY__9,he,4.4625,4.5025,0.8254,False,very_short
-HwX2H8Z4hY__9,which,5.5025,5.6425,0.9674,False,overlap_risk
-HwX2H8Z4hY__9,he,5.6625,5.7225,0.1946,False,low_ctc;overlap_risk
-HwX2H8Z4hY__9,like,6.0425,6.2025,0.9906,False,filler_like
-HwX2H8Z4hY__9,that,6.2625,6.3425,0.0595,False,low_ctc;overlap_risk
-HwX2H8Z4hY__9,the,6.3625,6.4225,0.0167,False,low_ctc;overlap_risk
-I_e4mIh0yE__1,In,0.8225,0.8625,0.9991,False,very_short
-I_e4mIh0yE__1,in,6.3025,6.3425,0.9997,False,very_short
-I_e4mIh0yE__3,you,1.7025,2.0225,0.9456,False,filler_like
-I_e4mIh0yE__3,of,5.9625,6.0225,0.0521,False,low_ctc
-I_e4mIh0yE__3,and,6.4825,6.5425,0.8461,False,overlap_risk
-I_e4mIh0yE__3,that,6.5625,6.6425,0.9479,False,overlap_risk
-I_e4mIh0yE__3,you,6.6825,6.7825,0.91,False,filler_like
-MeTTeMJBNc__0,at,2.2025,2.2425,0.9991,False,very_short
-MeTTeMJBNc__0,of,7.9425,7.9825,0.9994,False,very_short
-MeTTeMJBNc__13,It,0.1225,0.1625,0.998,False,very_short;edge_clip_start
-MeTTeMJBNc__13,a,2.0225,2.0425,0.9959,False,very_short
-MeTTeMJBNc__13,you,3.8225,3.9025,0.998,False,filler_like
-MeTTeMJBNc__7,you,0.8025,0.9025,0.9956,False,filler_like
-MeTTeMJBNc__7,a,1.9425,1.9625,0.9967,False,very_short
-MeTTeMJBNc__7,of,2.4625,2.5025,0.7649,False,very_short
-MeTTeMJBNc__7,in,5.3825,5.4225,0.9998,False,very_short
-MeTTeMJBNc__7,or,6.1625,6.2025,0.9985,False,very_short
-MeTTeMJBNc__7,a,6.8025,6.8225,0.9952,False,very_short
-MeTTeMJBNc__7,it,8.4425,8.4825,0.4832,False,very_short
-MeTTeMJBNc__7,in,8.7825,8.8225,0.9966,False,very_short
-MeTTeMJBNc__7,a,8.8625,8.9025,0.8979,False,very_short;overlap_risk
-MeTTeMJBNc__7,beautiful,8.9225,9.2825,0.9813,False,overlap_risk
-NFrJFQijFE__1,Structural,0.2825,1.7825,0.0113,False,low_ctc
-NFrJFQijFE__1,mounts,2.1825,2.3625,0.0051,False,low_ctc
